KREIRANJE 5/11/2020 	 STADION:    ID: 5 ,Naziv: Marakana, Grad: Beograd, Kapacitet: 35000 

KREIRANJE 5/11/2020 	 SUDIJA:    ID: 7, Ime: John , Prezime: Shen , Drzava: United States

KREIRANJE 5/11/2020 	 VLASNIK:    ID: 5 , Ime: gore , Prezime: wefwer , Drzava: American Samoa

BRISANJE 5/11/2020 	 VLASNIK:    ID: 5 , Ime: gore , Prezime: wefwer , Drzava: American Samoa

KREIRANJE 5/14/2020 	 KLUB:    Naziv: Crvena Zvezda , Grad: Beograd 

KREIRANJE 5/14/2020 	 IGRAC:    ID: 8 , Ime: Stefan  , Prezime: Cukic

KREIRANJE 5/14/2020 	 IGRAC:    ID: 9 , Ime: Cristiano  , Prezime: Ronaldo

KREIRANJE 5/14/2020 	 IGRAC:    ID: 10 , Ime: Mohamed  , Prezime: Salah

KREIRANJE 5/14/2020 	 IGRAC:    ID: 11 , Ime: Robert  , Prezime: Lewandovski

KREIRANJE 5/15/2020 	 KLUB:    Naziv: Partizan , Grad: Beograd 

BRISANJE 5/15/2020 	 MENADZER:    ID: 1 , Ime: Riola , Prezime: Riola , Drzava: Armenia

BRISANJE 5/15/2020 	 MENADZER:    ID: 2 , Ime: Svima , Prezime: Menadzer , Drzava: Barbados

BRISANJE 5/15/2020 	 MENADZER:    ID: 3 , Ime: Menadzer , Prezime: Cukic , Drzava: Indonesia

BRISANJE 5/15/2020 	 IGRAC:    ID: 1 , Ime: Romelu  , Prezime: Lukaku

BRISANJE 5/15/2020 	 IGRAC:    ID: 2 , Ime: Lautaro  , Prezime: Martinez

BRISANJE 5/15/2020 	 IGRAC:    ID: 3 , Ime: Gigi  , Prezime: Donaruma

BRISANJE 5/15/2020 	 IGRAC:    ID: 4 , Ime: Marcelo  , Prezime: Brozovic

BRISANJE 5/15/2020 	 IGRAC:    ID: 5 , Ime: Sasa  , Prezime: Dragomirovic

BRISANJE 5/15/2020 	 IGRAC:    ID: 6 , Ime: Gonzalo  , Prezime: Higuain

BRISANJE 5/15/2020 	 IGRAC:    ID: 11 , Ime: Robert  , Prezime: Lewandovski

BRISANJE 5/15/2020 	 IGRAC:    ID: 10 , Ime: Mohamed  , Prezime: Salah

BRISANJE 5/15/2020 	 IGRAC:    ID: 7 , Ime: Nicolo  , Prezime: Barella

BRISANJE 5/15/2020 	 IGRAC:    ID: 8 , Ime: Stefan  , Prezime: Cukic

BRISANJE 5/15/2020 	 IGRAC:    ID: 9 , Ime: Cristiano  , Prezime: Ronaldo

KREIRANJE 5/15/2020 	 IGRAC:    ID: 1 , Ime: Lautaro  , Prezime: Martinez

KREIRANJE 5/15/2020 	 IGRAC:    ID: 2 , Ime: Romelu  , Prezime: Lukaku

KREIRANJE 5/15/2020 	 IGRAC:    ID: 3 , Ime: Cristiano  , Prezime: Ronaldo

BRISANJE 5/15/2020 	 IGRAC:    ID: 3 , Ime: Cristiano  , Prezime: Ronaldo

KREIRANJE 5/15/2020 	 IGRAC:    ID: 3 , Ime: Robert  , Prezime: Lewandowski

KREIRANJE 5/15/2020 	 IGRAC:    ID: 4 , Ime: Cristiano  , Prezime: Ronaldo

KREIRANJE 5/15/2020 	 IGRAC:    ID: 5 , Ime: Andrea  , Prezime: Silva

KREIRANJE 5/15/2020 	 IGRAC:    ID: 6 , Ime: Stefan  , Prezime: Djurdjevic

KREIRANJE 5/15/2020 	 MENADZER:    ID: 1 , Ime: Mino , Prezime: Riola , Drzava: Belgium

BRISANJE 5/24/2020 	 RADNIK:    ID: 3, Ime: Lazar , Prezime: Polic , Drzava: India

